language,gpu,ctx,temp,baseline_tok_s,chimera_tok_s,throughput_pct,baseline_ttft_ms,chimera_ttft_ms,ttft_pct,baseline_tokens,chimera_tokens,baseline_duration_ms,chimera_duration_ms,source
python,60,256,0.6,99.39353783532877,99.21429318577177,-0.18033833331697227,1376.03195,1430.6285,-3.9676804016069522,2171,2099,24648.341,24021.75,benchmarks/python/chimera_sweep\run_gpu60_ctx256_temp0p6
python,60,256,0.8,98.92275486953412,99.20597812568458,0.28630748964077835,1386.2893,1485.4381999999998,-7.152107428081564,2370,2157,26802.6064,24720.4651,benchmarks/python/chimera_sweep\run_gpu60_ctx256_temp0p8
python,60,512,0.6,99.4329565535398,99.38210817112574,-0.05113835912812306,1942.2491999999997,2022.0608,-4.109235828234618,2354,2188,27638.1675,26062.0282,benchmarks/python/chimera_sweep\run_gpu60_ctx512_temp0p6
python,60,512,0.8,98.90410675731465,101.07982877093973,2.199829799751128,1422.7029,448.95015,68.44385781458658,1915,1045,22244.4512,11686.807499999999,benchmarks/python/chimera_sweep\run_gpu60_ctx512_temp0p8
python,60,1024,0.6,99.01223727137585,98.86471838498207,-0.14899055961078697,1369.387,1612.9144000000001,-17.78367985091141,2271,2165,25715.9222,25130.600899999998,benchmarks/python/chimera_sweep\run_gpu60_ctx1024_temp0p6
python,60,1024,0.8,99.08978000449024,98.94066469587585,-0.15048505366307888,1382.3359999999998,1605.5697000000002,-16.14901876244274,2218,2157,25209.0074,25018.0568,benchmarks/python/chimera_sweep\run_gpu60_ctx1024_temp0p8
python,80,256,0.6,98.86446875373497,98.99224118708614,0.12923999386416715,1504.7511,1610.63525,-7.036655430921439,2376,2085,27076.7922,24287.5017,benchmarks/python/chimera_sweep\run_gpu80_ctx256_temp0p6
python,80,256,0.8,99.18985327966968,99.11901728995448,-0.07141455236904866,1392.2671500000001,1618.2010500000001,-16.22776921799814,2239,2104,25417.5345,24465.018,benchmarks/python/chimera_sweep\run_gpu80_ctx256_temp0p8
python,80,512,0.6,98.685711370217,99.0271880177119,0.34602440693146047,1394.3519500000002,1600.6782,-14.797286294898488,2188,2157,25000.9319,24988.510000000002,benchmarks/python/chimera_sweep\run_gpu80_ctx512_temp0p6
python,80,512,0.8,98.88813104893734,98.80088365938762,-0.0882283734400238,1404.48725,1619.3372,-15.297394120167345,2306,1935,26161.605600000003,22822.4715,benchmarks/python/chimera_sweep\run_gpu80_ctx512_temp0p8
python,80,1024,0.6,99.21986240549808,99.25160295291163,0.03199011432189764,1379.517,1635.962,-18.589477331558793,2226,2156,25267.437299999998,24997.7831,benchmarks/python/chimera_sweep\run_gpu80_ctx1024_temp0p6
python,80,1024,0.8,98.86803797384435,99.18110466775983,0.3166510637121126,1381.9394499999999,1608.71885,-16.410226945905638,2167,2154,24725.8924,24938.5521,benchmarks/python/chimera_sweep\run_gpu80_ctx1024_temp0p8
python,120,256,0.6,99.18577234103223,98.8740152235963,-0.3143163682428273,1381.70345,1634.9171500000002,-18.32619727482046,2220,2141,25167.4857,24925.694799999997,benchmarks/python/chimera_sweep\run_gpu120_ctx256_temp0p6
python,120,256,0.8,99.05894807497728,98.80371350156142,-0.25765928104008956,1430.1151499999999,1688.9976499999998,-18.102213657410733,2472,2221,27912.8904,25862.4479,benchmarks/python/chimera_sweep\run_gpu120_ctx256_temp0p8
python,120,512,0.6,99.23047934264898,98.92938406702956,-0.3034302339503134,1391.1245000000001,1592.3004499999997,-14.461390766965831,2329,2072,26348.088,24135.0606,benchmarks/python/chimera_sweep\run_gpu120_ctx512_temp0p6
python,120,512,0.8,98.65559385300774,99.13911808955636,0.490113350560787,1390.7768499999997,1614.4897,-16.0854597198681,2544,2129,28653.3523,24706.458599999998,benchmarks/python/chimera_sweep\run_gpu120_ctx512_temp0p8
python,120,1024,0.6,99.28596980391364,98.79983656676288,-0.48962933847638646,1395.8144499999999,1615.02505,-15.70485246086972,2495,1973,28003.936,23203.0589,benchmarks/python/chimera_sweep\run_gpu120_ctx1024_temp0p6
python,120,1024,0.8,98.86392917371155,98.83423574462874,-0.030034643910053657,1371.6099,1609.2229000000002,-17.323657404339258,2195,2167,25016.8568,25151.228900000002,benchmarks/python/chimera_sweep\run_gpu120_ctx1024_temp0p8
rust,60,256,0.6,97.87786461145134,98.16357287093065,0.2919028327942089,3601.9103,3894.8367,-8.132529008287626,1496,1606,18932.6973,20301.3553,Demo_rust_agent\Demo_rust_agent_sweep\gpu60_ctx256_temp0p6
rust,60,256,0.8,98.35195568785876,98.25909698167807,-0.09441470231196976,3890.1529,3878.2246000000005,0.3066280505323989,1435,1552,18524.4175,19726.174,Demo_rust_agent\Demo_rust_agent_sweep\gpu60_ctx256_temp0p8
rust,60,512,0.6,98.22213262700706,98.526075649904,0.3094445363461526,3946.6231000000002,3843.4638,2.6138624689041183,1512,1531,19385.7261,19422.953100000002,Demo_rust_agent\Demo_rust_agent_sweep\gpu60_ctx512_temp0p6
rust,60,512,0.8,98.19272958881388,98.19779569235224,0.005159346888087191,3927.0641,3829.1824,2.49249050964052,1596,1594,20227.932200000003,20105.193199999998,Demo_rust_agent\Demo_rust_agent_sweep\gpu60_ctx512_temp0p8
rust,60,1024,0.6,99.00042725941248,98.80290339118396,-0.19951819774569265,3799.8761999999997,3690.2160999999996,2.8858861243953178,1678,1565,20800.305099999998,19586.5552,Demo_rust_agent\Demo_rust_agent_sweep\gpu60_ctx1024_temp0p6
rust,60,1024,0.8,98.63802687695787,99.23570892330882,0.6059347143029422,3736.361,3753.6515,-0.4627631002464715,1502,1465,19004.1492,18567.5968,Demo_rust_agent\Demo_rust_agent_sweep\gpu60_ctx1024_temp0p8
rust,80,256,0.6,99.0858785824867,99.4670356517608,0.3846734516834216,3714.4803,3716.665,-0.058815764886403984,1536,1534,19256.9552,19183.0278,Demo_rust_agent\Demo_rust_agent_sweep\gpu80_ctx256_temp0p6
rust,80,256,0.8,98.87264321201188,99.43212220948575,0.5658582387386851,4040.2924000000003,3673.8453,9.069816333095106,1450,1396,18747.523,17762.6812,Demo_rust_agent\Demo_rust_agent_sweep\gpu80_ctx256_temp0p8
rust,80,512,0.6,99.53317997696462,99.27471209177187,-0.25968012400745344,3727.7259000000004,3720.5382999999997,0.1928146058163948,1481,1481,18650.105499999998,18692.0556,Demo_rust_agent\Demo_rust_agent_sweep\gpu80_ctx512_temp0p6
rust,80,512,0.8,99.30939323822365,99.50226861002446,0.19421664508425665,3759.7126,3679.1291,2.143342020344846,1483,1551,18731.9748,19314.1076,Demo_rust_agent\Demo_rust_agent_sweep\gpu80_ctx512_temp0p8
rust,80,1024,0.6,98.75418515701719,98.82944987716206,0.07621420806136266,3827.2167,3804.0113,0.606325740583224,1459,1540,18639.9109,19419.3103,Demo_rust_agent\Demo_rust_agent_sweep\gpu80_ctx1024_temp0p6
rust,80,1024,0.8,98.59135261387979,99.01650180284358,0.4312236090611594,3845.2511999999997,3575.6261,7.01189820836672,1525,1592,19354.6877,19697.5974,Demo_rust_agent\Demo_rust_agent_sweep\gpu80_ctx1024_temp0p8
rust,120,256,0.6,99.04416514383989,98.601367714741,-0.44707068655263293,3877.2959,3545.0917999999997,8.567932615099105,1452,1508,18578.3106,18889.4972,Demo_rust_agent\Demo_rust_agent_sweep\gpu120_ctx256_temp0p6
rust,120,256,0.8,98.92775767024334,99.07285475717481,0.14666974199003363,3867.8593,3856.4756,0.29431525598668656,1463,1486,18698.4708,18899.0291,Demo_rust_agent\Demo_rust_agent_sweep\gpu120_ctx256_temp0p8
rust,120,512,0.6,98.9308083860692,98.5653152385174,-0.3694432032997205,3866.2754,3829.144,0.960392009322466,1517,1517,19238.0849,19274.515,Demo_rust_agent\Demo_rust_agent_sweep\gpu120_ctx512_temp0p6
rust,120,512,0.8,98.43879553102326,98.70417242457019,0.2695856771868917,3895.1506999999997,3845.2553,1.2809619920482123,1498,1541,19156.215799999998,19505.5049,Demo_rust_agent\Demo_rust_agent_sweep\gpu120_ctx512_temp0p8
rust,120,1024,0.6,98.72392176734873,99.09696476130358,0.37786484499062106,3815.424,3830.4390000000003,-0.3935342441626495,1511,1506,19166.323500000002,19066.6024,Demo_rust_agent\Demo_rust_agent_sweep\gpu120_ctx1024_temp0p6
rust,120,1024,0.8,99.2251378459566,99.41247507463379,0.18880016973927327,3849.8276,3513.7228999999998,8.730383147546666,1566,1419,19677.578100000002,17830.1254,Demo_rust_agent\Demo_rust_agent_sweep\gpu120_ctx1024_temp0p8
